연번,쉼터명,주소,경도,위도
252,광산할머니경로당,부산광역시 부산진구 당감동 629-37,129.0300384,35.1663383
253,국제백양노인정,부산광역시 부산진구 백양관문로 104,129.0284618,35.1684259
254,국제프라자아파트경로당,부산광역시 부산진구 백양관문로 101,129.0274701,35.1672535
255,당감동일스위트경로당,부산광역시 부산진구 백양관문로 115,129.025442,35.167989
256,당삼경로당,부산광역시 부산진구 백양대로136번길 99,129.0330385,35.1644612
257,당평노인정,부산광역시 부산진구 백양관문로 10,129.033066,35.1609863
258,동원타워노인회,부산광역시 부산진구 동평로 18,129.032439,35.164215
259,무궁화할아버지경로당,부산광역시 부산진구 당감로17번길 90,129.0348078,35.1631502
260,삼익경로당,부산광역시 부산진구 당감로 5,129.0397444,35.1622272
261,늘푸른경로당,부산광역시 부산진구 당감로50번길 22-7 ,129.0403578,35.166053
262,무궁화할머니경로당,부산광역시 부산진구 당감로17번길 90,129.0347786,35.1631662
263,광산노인정,부산광역시 부산진구 동평로27번가길 20,129.0309393,35.1646821
264,삼익학수정경로당,부산광역시 부산진구 당감로 17,129.0388334,35.1618936
265,당감행복한경로당,부산광역시 부산진구 백양대로78번길 22-10 ,129.041211,35.163055
266,당감종합사회복지관,부산광역시 부산진구 당감서로 16,129.0366063,35.1623172
267,제일경로당,부산광역시 부산진구 가야대로703번다길 12,129.0474619,35.1586235
268,신가야벽산블루밍경로당,부산광역시 부산진구 마철로 98,129.039964,35.1579257
269,넝쿨경로당,부산광역시 부산진구 신천대로197번길 27,129.0484889,35.1591378
270,중앙경로당,부산광역시 부산진구 마철로 65,129.041921,35.15741
271,중앙할머니경로당,부산광역시 부산진구 가야대로691번길 58,129.0447228,35.1575603
272,태화현대1차경로당,부산광역시 부산진구 가야대로 635-20 ,129.0422728,35.1569694
273,태화현대2차경로당,부산광역시 부산진구 가야대로 635-13 ,129.040214,35.156524
274,부산시민교회,부산광역시 부산진구 백양순환로 43,129.0325248,35.1688883
275,다복경로당,부산광역시 부산진구 당감서로 121-5 ,129.033574,35.1688642
276,다솜경로당,부산광역시 부산진구 당감서로 57-8 ,129.0364489,35.1654042
277,백양뜨란채경로당,부산광역시 부산진구 백양산로53번길 62,129.0267639,35.1723596
278,백양푸른채경로당,부산광역시 부산진구 백양산로53번길 62,129.0266563,35.1723713
279,동평경로당,부산광역시 부산진구 백양순환로18번길 53,129.035963,35.1661963
280,백산아파트경로당,부산광역시 부산진구 백양순환로 55,129.032816,35.169864
281,보국노인회,부산광역시 부산진구 동평로76번길 14,129.0377774,35.1646508
282,삼성맨션노인회,부산광역시 부산진구 당감서로 112,129.0339097,35.1697661
283,연수정노인회,부산광역시 부산진구 당감서로146번길 5,129.0320673,35.1705288
284,우국노인회,부산광역시 부산진구 백양산로 17,129.0334026,35.1711337
285,태우선파크노인정,부산광역시 부산진구 백양순환로35번길 43,129.0322086,35.1672101
286,당감주공1단지경로당,부산광역시 부산진구 백양산로53번길 125,129.0277772,35.1705666
287,가남경로당,부산광역시 부산진구 가야대로668번길 45,129.0447603,35.1541194
288,노장원경로당,부산광역시 부산진구 가야대로673번길 50,129.0431285,35.1567855
289,가산경로당,부산광역시 부산진구 가야대로572번가길 23,129.0333219,35.153225
290,우정경로당,부산광역시 부산진구 엄광로182번길 8,129.0346944,35.1474245
291,일심경로당,부산광역시 부산진구 가야대로572번길 44,129.0342194,35.1523863
292,가야1동주민센터,부산광역시 부산진구 가야대로572번길 22,129.0343071,35.1532418
293,양지경로당,부산광역시 부산진구 엄광로326번나길 3,129.0437366,35.1527244
294,가야반도보라빌노인정,부산광역시 부산진구 가야공원로 41,129.0315084,35.1504316
295,금정경로당,부산광역시 부산진구 엄광로69번길 16-8 ,129.0235469,35.1485433
296,무궁화경로당,부산광역시 부산진구 가야대로510번길 60,129.0282308,35.1503889
297,엄광경로당,부산광역시 부산진구 가야대로510번길 80-1 ,129.0280023,35.1497495
298,중앙경로당,부산광역시 부산진구 가야공원로40번길 6,129.0294348,35.1499182
299,진성아파트경로당,부산광역시 부산진구 엄광로 102-1 ,129.0270278,35.1485652
300,한일하나로경로당,부산광역시 부산진구 가야공원로38번길 81,129.0259658,35.1497342
301,벽산A경로당,부산광역시 부산진구 엄광로 68,129.0259747,35.1469488
302,벽산A할머니경로당,부산광역시 부산진구 엄광로 68,129.0259747,35.1469488
303,개금노인회,부산광역시 부산진구 가야대로424번길 54-5 ,129.0182455,35.1502682
304,개금부녀노인회,부산광역시 부산진구 가야대로424번길 54-5 ,129.0182366,35.1502706
305,개금복지회관할머니경로당,부산광역시 부산진구 냉정로 230-1 ,129.024948,35.1508335
306,복지경로당,부산광역시 부산진구 가야대로406번길 29,129.0171309,35.1503706
307,부녀복지경로당,부산광역시 부산진구 가야대로406번길 29,129.0171428,35.1503769
308,성원쌍떼뷰경로당,부산광역시 부산진구 개금온정로 5,129.0247066,35.153774
309,개금롯데캐슬아파트경로당,부산광역시 부산진구 개금온정로 10,129.0266511,35.1544878
310,명광교회,부산광역시 부산진구 엄광로12번길 62,129.0171558,35.1455185
311,고원경로당,부산광역시 부산진구 엄광로62번길 61,129.0221665,35.1453973
312,시영아파트경로당,부산광역시 부산진구 진사로61번길 29,129.0179945,35.146453
